PolicyID,ClientID,CountryCode,Cost,Income
1,1,de,1,1
2,2,fr,2,2
3,3,fr,3,3
4,4,fr,4,4
5,5,gb,5,5
6,6,de,6,6
7,7,fr,7,7
8,8,fr,8,8
9,9,fr,9,9
10,10,gb,10,10
11,11,de,11,11
12,12,fr,12,12
13,13,fr,13,13
14,14,fr,14,14
15,15,gb,15,15
16,16,de,16,16
17,17,fr,17,17
18,18,fr,18,18
19,19,fr,19,19
20,20,gb,20,20
21,21,de,21,21
22,22,fr,22,22
23,23,fr,23,23
24,24,fr,24,24
25,25,gb,25,25
26,26,de,26,26
27,27,fr,27,27
28,28,fr,28,28
29,29,fr,29,29
30,30,gb,30,30
31,31,de,31,31
32,32,fr,32,32
33,33,fr,33,33
34,34,fr,34,34
35,35,gb,35,35
36,36,de,36,36
37,37,fr,37,37
38,38,fr,38,38
39,39,fr,39,39
40,40,gb,40,40
41,41,de,41,41
42,42,fr,42,42
43,43,fr,43,43
44,44,fr,44,44
45,45,gb,45,45
46,46,de,46,46
47,47,fr,47,47
48,48,fr,48,48
49,49,fr,49,49
50,50,gb,50,50
51,51,de,51,51
52,52,fr,52,52
53,53,fr,53,53
54,54,fr,54,54
55,55,gb,55,55
56,56,de,56,56
57,57,fr,57,57
58,58,fr,58,58
59,59,fr,59,59
60,60,gb,60,60
61,61,de,61,61
62,62,fr,62,62
63,63,fr,63,63
64,64,fr,64,64
65,65,gb,65,65
66,66,de,66,66
67,67,fr,67,67
68,68,fr,68,68
69,69,fr,69,69
70,70,gb,70,70
71,71,de,71,71
72,72,fr,72,72
73,73,fr,73,73
74,74,fr,74,74
75,75,gb,75,75
76,76,de,76,76
77,77,fr,77,77
78,78,fr,78,78
79,79,fr,79,79
80,80,gb,80,80
81,81,de,81,81
82,82,fr,82,82
83,83,fr,83,83
84,84,fr,84,84
85,85,gb,85,85
86,86,de,86,86
87,87,fr,87,87
88,88,fr,88,88
89,89,fr,89,89
90,90,gb,90,90
91,91,de,91,91
92,92,fr,92,92
93,93,fr,93,93
94,94,fr,94,94
95,95,gb,95,95
